"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Volume1";"Potentiometer_Bourns_3266Y_Vertical";1;"A100k";;;
2;"Tone1";"Potentiometer_Bourns_3266Y_Vertical";1;"B100k";;;
3;"Sustain1";"Potentiometer_Bourns_3266Y_Vertical";1;"A50k";;;
4;"R23";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1.2M";;;
5;"R22,R16,R12,R11,R7,R5";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";6;"10k";;;
6;"R21";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"2.2K";;;
7;"R20,R14,R9,R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";4;"100k";;;
8;"R19,R8,R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";3;"470k";;;
9;"R18";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"22k";;;
10;"R17,R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"39k";;;
11;"R15,R10,R4";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";3;"390";;;
12;"R13";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"470K";;;
13;"R6";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1k";;;
14;"Q4";"TO-92_Inline";1;"BC547";;;
15;"Q3,Q2";"TO-92_Inline";2;"BC549";;;
16;"Q1";"TO-92_Inline";1;"BC337";;;
17;"D4,D3,D2";"D_A-405_P7.62mm_Horizontal";3;"1N914";;;
18;"D1";"D_A-405_P7.62mm_Horizontal";1;"1n914";;;
19;"C14";"C_Disc_D8.0mm_W2.5mm_P5.00mm";1;"1u";;;
20;"C13,C12,C7,C4,C3,C1";"C_Disc_D8.0mm_W2.5mm_P5.00mm";6;".1u";;;
21;"C11";"C_Disc_D8.0mm_W2.5mm_P5.00mm";1;".01u";;;
22;"C10";"C_Disc_D8.0mm_W2.5mm_P5.00mm";1;".0047u";;;
23;"C9,C6,C2";"C_Disc_D8.0mm_W2.5mm_P5.00mm";3;"470p";;;
24;"C8,C5";"C_Disc_D8.0mm_W2.5mm_P5.00mm";2;".047u";;;
25;"Bypass1";"Potentiometer_Bourns_3266Y_Vertical";1;"A250k";;;
